IPK_40_1 SRR20856360	Hemp
IPK_38_2 SRR20856361	Hemp
IPK_59_1 SRR20856362	Hemp
IPK_44_1 SRR20856363	Hemp
IPK_43_1 SRR20856364	Hemp
IPK_65_1 SRR20856365	Hemp
IPK_64_2 SRR20856366	Hemp
IPK_64_1 SRR20856367	Hemp
US_feral_10 SRR20856368	Hemp
IPK_63_2 SRR20856369	Hemp
IPK_61_1 SRR20856372	Hemp
IPK_60_2 SRR20856373	Hemp
IPK_60_1 SRR20856374	Hemp
IPK_65_2 SRR20856377	Hemp
IPK_57_1 SRR20856378	Hemp
IPK_20_1 SRR20856379	Hemp
IPK_56_2 SRR20856380	Hemp
Tora_Bora: C19 SRR3294440.1	Hemp
Afghan_Kush_2: C2 SRR3294441.1	Hemp
G13: C20 SRR3294442.1	Hemp
Harlequin: C21 SRR3294443.1	Hemp
Auto_AK47: C23 SRR3294445.1	Hemp
R4: C34 SRR3294456.1	Hemp
Kompolti_2: C38 SRR3294460.1	Hemp
EuroOil_2: C39 SRR3294461.1	Hemp
Chinese_hemp: C40 SRR3294463.1	Hemp
Girl_Scout_Cookies_1: C43 SRR3294466.1	Hemp
Grape_Ape_1: C44 SRR3294467.1	Hemp
Chocolope_1: C46 SRR3294469.1	Hemp
Jamaican Lion^3 Mother SRR10578274	Hemp-type
Citrix SRR10578277	Hemp-type
Arcata Trainwreck SRR10578288	Hemp-type
CCB91ANXX_THCVXB02	Hemp-type
YNN SRR14708199	Hemp-type
IMA SRR14708203	Hemp-type
XUM2 SRR14708204	Hemp-type
XUM1 SRR14708205	Hemp-type
XBL2 SRR14708206	Hemp-type
XBL1 SRR14708207	Hemp-type
XGL2 SRR14708208	Hemp-type
XGL1 SRR14708209	Hemp-type
Santhica 27 FSA SRR14708211	Hemp-type
XHC1 SRR14708212	Hemp-type
"VIR 449, Szegedi 9 HIS SRR14708213"	Hemp-type
Colombian 8 COA SRR14708214	Hemp-type
missing PEU SRR14708215	Hemp-type
Wild Thailand THD SRR14708216	Hemp-type
R3in134-4 NEB4 SRR14708218	Hemp-type
R3in134-3 NEB3 SRR14708219	Hemp-type
R3in134-2 NEB2 SRR14708220	Hemp-type
R2in135-4 NER4 SRR14708221	Hemp-type
Fedora 17 FFA SRR14708222	Hemp-type
R2in135-3 NER3 SRR14708223	Hemp-type
R2in135-2 NER2 SRR14708224	Hemp-type
R1in136-4 ERM4 SRR14708225	Hemp-type
R1in136-3 ERM3 SRR14708226	Hemp-type
VIR 469-3 KAK3 SRR14708241	Hemp-type
IUL1 SRR14708254	Hemp-type
B52 SRR14708255	Hemp-type
IUP3 SRR14708256	Hemp-type
IUP2 SRR14708257	Hemp-type
IUP1 SRR14708258	Hemp-type
Juso14 UJO SRR14708259	Hemp-type
PP9 SRR14708260	Hemp-type
IPK_68_2 SRR20856375	NLDT
IPK_55_1 SRR20856383	NLDT
IPK_54_2 SRR20856384	NLDT
IPK_54_1 SRR20856385	NLDT
IPK_58_2 SRR20856388	NLDT
IPK_58_1 SRR20856389	NLDT
IPK_19_2 SRR20856390	NLDT
IPK_21_1 SRR20856391	NLDT
IPK_20_2 SRR20856392	NLDT
White_Widow_1: A2 SRR3294429.1	NLDT
Afghan_Kush_1: C1 SRR3294430.1	NLDT
Carmagnola_1: C10 SRR3294431.1	NLDT
Carmagnola_2: C11 SRR3294432.1	NLDT
Chem91: C14 SRR3294435.1	NLDT
Original_Sour_Diesel: C15 SRR3294436.1	NLDT
Durban_Poison_1: C16 SRR3294437.1	NLDT
Pre-98_Bubba_Kush: C25 SRR3294447.1	NLDT
Jack_Herer_1: C27 SRR3294448.1	NLDT
Maui_Waui: C28 SRR3294449.1	NLDT
Super_Lemon_Haze: C29 SRR3294450.1	NLDT
Afghan_Kush_3: C3 SRR3294451.1	NLDT
Hindu_Kush: C30 SRR3294452.1	NLDT
Durban_Poison_2: C32 SRR3294454.1	NLDT
Rocky_Mountain_Bluberry: C33 SRR3294455.1	NLDT
Kunduz: C35 SRR3294457.1	NLDT
Kompolti_1: C37 SRR3294459.1	NLDT
OGXPKSCC_Pooled	Type I
